Battery_Capacity_kWh,Vehicle_Age_Months,Total_Charging_Cycles,Avg_Temperature_C,Fast_Charge_Ratio,Avg_Discharge_Rate_C,Internal_Resistance_Ohm,SoH_Percent,Battery_Status,Car_Model_BYD Atto 3,Car_Model_Ford Mustang Mach-E,Car_Model_Hyundai Ioniq 5,Car_Model_Tesla Model 3,Car_Model_Wuling Air EV,Battery_Type_LFP,Battery_Type_NMC,Driving_Style_Aggressive,Driving_Style_Conservative,Driving_Style_Moderate,Thermal_Stress_Index,Monthly_Charge_Intensity,Power_Stress
75.0,41,390,21.5,0.51,2.22,0.0362,94.6,Healthy,False,False,False,True,False,False,True,True,False,False,10.965,9.285714285714286,0.08036400000000002
75.0,29,401,18.0,0.62,1.34,0.0333,95.68,Healthy,False,False,False,True,False,False,True,True,False,False,11.16,13.366666666666667,0.04462200000000001
88.0,71,941,18.4,0.78,1.48,0.0526,89.8,Healthy,False,True,False,False,False,False,True,False,True,False,14.351999999999999,13.069444444444445,0.077848
88.0,57,378,10.8,0.61,0.72,0.0314,96.29,Healthy,False,True,False,False,False,False,True,False,False,True,6.588,6.517241379310345,0.022607999999999996
75.0,58,239,30.3,0.89,1.48,0.0297,96.75,Healthy,False,False,False,True,False,False,True,False,True,False,26.967000000000002,4.0508474576271185,0.043956
72.6,27,225,20.0,0.35,2.5,0.0265,98.07,Healthy,False,False,True,False,False,False,True,False,False,True,7.0,8.035714285714286,0.06625
72.6,49,734,3.2,0.51,0.65,0.0401,94.2,Healthy,False,False,True,False,False,False,True,False,True,False,1.6320000000000001,14.68,0.026064999999999998
72.6,12,121,27.4,0.29,1.41,0.0223,98.76,Healthy,False,False,True,False,False,False,True,False,False,True,7.945999999999999,9.307692307692308,0.031443
88.0,40,170,23.7,0.71,1.23,0.0236,98.53,Healthy,False,True,False,False,False,False,True,False,True,False,16.826999999999998,4.146341463414634,0.029027999999999998
26.0,12,100,19.6,0.59,1.5,0.0208,100.0,Healthy,False,False,False,False,True,True,False,False,True,False,11.564,7.6923076923076925,0.0312
75.0,55,526,25.0,0.75,1.7,0.0335,94.76,Healthy,False,False,False,True,False,False,True,False,True,False,18.75,9.392857142857142,0.05695
26.0,51,718,19.9,0.26,1.34,0.0288,96.42,Healthy,False,False,False,False,True,True,False,False,False,True,5.1739999999999995,13.807692307692308,0.038592
26.0,66,640,18.1,0.03,0.95,0.0263,96.2,Healthy,False,False,False,False,True,True,False,True,False,False,0.543,9.552238805970148,0.024985
60.0,7,102,30.3,0.52,1.84,0.0211,98.95,Healthy,True,False,False,False,False,True,False,True,False,False,15.756,12.75,0.038824000000000004
88.0,55,504,7.3,0.48,0.96,0.0324,95.28,Healthy,False,True,False,False,False,False,True,False,False,True,3.504,9.0,0.031103999999999996
75.0,81,948,23.1,0.67,1.93,0.0503,90.14,Healthy,False,False,False,True,False,False,True,False,False,True,15.477000000000002,11.560975609756097,0.097079
88.0,33,335,30.7,0.67,1.12,0.0319,95.97,Healthy,False,True,False,False,False,False,True,False,False,True,20.569,9.852941176470589,0.035728
88.0,90,834,28.6,0.88,1.37,0.0451,91.44,Healthy,False,True,False,False,False,False,True,False,True,False,25.168000000000003,9.164835164835164,0.06178700000000001
72.6,35,143,28.6,0.15,2.26,0.0238,98.79,Healthy,False,False,True,False,False,False,True,False,False,True,4.29,3.9722222222222223,0.053787999999999996
26.0,67,951,20.1,0.36,0.9,0.034,93.36,Healthy,False,False,False,False,True,True,False,True,False,False,7.236000000000001,13.985294117647058,0.030600000000000002
26.0,60,577,23.7,0.83,2.12,0.03,95.22,Healthy,False,False,False,False,True,True,False,True,False,False,19.671,9.459016393442623,0.0636
88.0,85,1188,23.5,0.83,1.13,0.0573,87.1,Healthy,False,True,False,False,False,False,True,False,False,True,19.505,13.813953488372093,0.06474899999999999
75.0,57,660,36.3,0.79,1.53,0.0467,91.38,Healthy,False,False,False,True,False,False,True,False,False,True,28.677,11.379310344827585,0.071451
26.0,24,351,24.5,0.84,1.46,0.0227,98.36,Healthy,False,False,False,False,True,True,False,False,False,True,20.58,14.04,0.033142
75.0,84,582,16.2,0.5,0.69,0.0425,92.86,Healthy,False,False,False,True,False,False,True,True,False,False,8.1,6.847058823529411,0.029325
